ind0	S001U
ind1	PI605351_GRE
ind2	S003U
ind3	S002U
ind4	palmerii
ind5	ERR3220406_1
ind6	S004U
ind7	ERR3220318
ind8	PI649537
ind9	PI576482
ind10	Ames5552
ind11	PI649575
ind12	PI511754
ind13	PI642741
ind14	PI649529
ind15	PI658728
ind16	PI511745
ind17	PI667156
ind18	PI481965
ind19	PI643037
ind20	PI649565
ind21	PI511737
ind22	PI633589
ind23	PI490664
ind24	PI604568
ind25	PI643058
ind26	PI511876
ind27	Ames5335
ind28	PI652422
ind29	PI649609
ind30	PI490612
ind31	PI649607
ind32	PI649217 
ind33	PI490679
ind34	PI511714
ind35	PI511731
ind36	PI643067
ind37	PI511681
ind38	PI649623
ind39	Ames5302
ind40	Ames2085
ind41	PI649246
ind42	PI511712
ind43	PI604581
ind44	PI490670
ind45	PI606798
ind46	PI490689
ind47	PI511717
ind48	PI490740
ind49	PI490731
ind50	PI490720
ind51	PI636180
ind52	PI649227
ind53	PI490511
ind54	PI652428
ind55	PI451826
ind56	PI511696
ind57	PI490609
ind58	PI490431
ind59	PI643041
ind60	PI511704
ind61	Ames5232
ind62	PI511679
ind63	PI490739
ind64	PI643042
ind65	AMA107
ind66	PI511706
ind67	Baernkrafft
ind68	PI649595
ind69	PI511686
ind70	AMA125
ind71	PI667160
ind72	PI490489
ind73	PI649524
ind74	PI511687
ind75	PI649514
ind76	PI604559
ind77	Ames2215
ind78	PI511751
ind79	PI490466
ind80	PI649228
ind81	PI604571
ind82	PI604587
ind83	PI511747
ind84	Ames5457
ind85	PI511741
ind86	PI433228
ind87	PI490491
ind88	PI490604
ind89	PI576481
ind90	PI649559
ind91	Ames21666
ind92	PI490561
ind93	PI649587
ind94	PI643049
ind95	PI649230
ind96	PI604595
ind97	PI649602
ind98	AMA89
ind99	PI667165
ind100	PI667158
ind101	PI511690
ind102	Ames5334
ind103	AMA155
ind104	PI511713
ind105	PI643039
ind106	PI490684
ind107	PI490673
ind108	PI490518
ind109	Ames5247
ind110	PI511680
ind111	PI490705
ind112	PI643036
ind113	PI511723
ind114	PI652432
ind115	Ames5342
ind116	PI481960
ind117	PI604582
ind118	PI511749
ind119	PI604574
ind120	PI608019
ind121	PI511724
ind122	PI652426
ind123	PI649509
ind124	PI481949
ind125	PI481957
ind126	PI490459
ind127	PI643070
ind128	PI511736
